(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (d) . (c̄) . (b) . (a), d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c+d) . (c̄+d̄) . (b) . (a), c+d . c̄+d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c+d) . (b) . (a), c+d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c+d) . (c̄+d̄) . (b) . (a), c+d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (d) . (c̄) . (b) . (a), d . c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (d) . (b) . (a), d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (d) . (c̄) . (b) . (a), d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (d) . (c) . (b) . (a), d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b) . (a), d̄ . c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c) . (b) . (a), c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (d̄) . (c) . (b) . (a), c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (d) . (c) . (b) . (a), c . b . a<br/> IKNF<sub>2</sub>, d . b . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c̄) . (b) . (a), d̄ . c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c+d̄) . (c̄+d) . (b) . (a), c+d̄ . c̄+d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (d̄) . (c̄) . (b) . (a), d̄ . c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b) . (a), d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c+d̄) . (b) . (a), c+d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (d̄) . (b) . (a), d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c̄) . (b) . (a), d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c+d̄) . (c̄+d) . (b) . (a), c+d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (d̄) . (c̄) . (b) . (a), d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b) . (a), c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b) . (a), c̄+d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄) . (b) . (a), c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b) . (a), c̄+d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (c̄+d̄) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b) . (a), c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (c̄+d) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (c̄) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c̄) . (b) . (a), c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c+d̄) . (c̄+d) . (b) . (a), c̄+d . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (d̄) . (c̄) . (b) . (a), c̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b) . (a), d̄ . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (c+d̄) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (d̄) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c̄) . (b) . (a), c̄ . b . a<br/> IKNF<sub>2</sub>, d̄ . b . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (c+d̄) . (c̄+d) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ ), (d̄) . (c̄) . (b) . (a), b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (d) . (c) . (b) . (a), d . c . b . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b) . (a), d̄ . b . a, empty
